UP;FAZENDA;TRANSPORTADOR;DIA;MES;DB;RSP;QTD_VEICULOS;VOLUME
S6C335;FORTALEZA;Tover;20;5;462,15749645501194;1,5198740867952;14;643,4000000000005
S5AK09;TURVO III (LEX);Pastori;21;5;485,00174033075893;1,513739550085731;27;2494,7999999999997
S5AK09;TURVO III (LEX);Rampazo;21;5;485,00174033075893;1,513739550085731;21;1940,3999999999999
S6BX01;SANTO ANTONIO SALIG.;Tover;21;5;450,0;1,44;14;503,2000000000007
S5AK08;TURVO III (LEX);Pastori;22;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S5AK08;TURVO III (LEX);Rampazo;22;5;484,2538258973078;1,515093704135877;21;1940,3999999999999
S6BG12;SINIMBU;Tover;22;5;478,1907425638097;1,5321403213808318;14;474,7999999999993
S5AK08;TURVO III (LEX);Pastori;23;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S5AK08;TURVO III (LEX);Rampazo;23;5;484,2538258973078;1,515093704135877;21;1940,3999999999999
S5AK08;TURVO III (LEX);Pastori;24;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S5AK08;TURVO III (LEX);Rampazo;24;5;484,2538258973078;1,515093704135877;21;1940,3999999999999
S5AK09;TURVO III (LEX);Pastori;25;5;485,00174033075893;1,513739550085731;27;1614,8000000000022
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;25;5;467,55335131606887;1,3785303023915199;21;1604,0800000000017
S3AX04;INDIANA II;Pastori;26;5;471,0267981311363;1,511823288806421;27;1300,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Rampazo;26;5;471,88326453558943;1,4101627217065384;21;1430,5400000000009
S5AK05;TURVO III (LEX);Pastori;27;5;493,2032472949478;1,4790448823362998;27;959,8599999999965
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Rampazo;27;5;489,6578141156763;1,4414397793136209;21;1193,1200000000008
S3AX01;INDIANA II;Pastori;28;5;476,35931165453064;1,546496658710454;27;469,69999999999936
S5AK10;TURVO III (LEX);Rampazo;28;5;494,9874225687377;1,443982454918312;21;694,4000000000028
S5AK08;TURVO III (LEX);Pastori;29;5;484,2538258973078;1,515093704135877;27;358,4000000000026
