UP;FAZENDA;TRANSPORTADOR;DIA;MES;DB;RSP;QTD_VEICULOS;VOLUME
S5AK09;TURVO III (LEX);Pastori;20;5;485,00174033075893;1,513739550085731;27;2494,7999999999997
S5AK09;TURVO III (LEX);Rampazo;20;5;485,00174033075893;1,513739550085731;27;2494,7999999999997
S6C335;FORTALEZA;Tover;20;5;462,15749645501194;1,5198740867952;11;1524,6000000000001
S5AK08;TURVO III (LEX);Pastori;21;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S5AK09;TURVO III (LEX);Rampazo;21;5;485,00174033075893;1,513739550085731;27;2494,7999999999997
S6C335;FORTALEZA;Tover;21;5;462,15749645501194;1,5198740867952;11;1524,6000000000001
S5AK08;TURVO III (LEX);Pastori;22;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S5AK08;TURVO III (LEX);Rampazo;22;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S6BG11;SINIMBU;Tover;22;5;479,286553196587;1,5425665925371712;7;1150,0
S5AK08;TURVO III (LEX);Pastori;23;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S5AK08;TURVO III (LEX);Rampazo;23;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S6BG10;SINIMBU;Tover;23;5;479,65062513371606;1,5474716699257756;7;1100,0
S5AK09;TURVO III (LEX);Pastori;24;5;485,00174033075893;1,513739550085731;16;1430,0000000000064
S5AK08;TURVO III (LEX);Rampazo;24;5;484,2538258973078;1,515093704135877;13;1190,0000000000027
S6BG08;SINIMBU;Tover;24;5;477,26180002542424;1,5346621322526182;12;1960,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Rampazo;25;5;471,88326453558943;1,4101627217065384;3;242,54000000000087
S6BG14;SINIMBU;Tover;25;5;481,23848707688614;1,5490566931886653;5;800,0
