UP;FAZENDA;TRANSPORTADOR;DIA;MES;DB;RSP;QTD_VEICULOS;VOLUME
S5AK09;TURVO III (LEX);Pastori;17;5;485.00174033075893;1.513739550085731;27;2494.7999999999997
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;17;5;467.55335131606887;1.3785303023915199;21;2079.0
S6C335;FORTALEZA;Tover;17;5;462.15749645501194;1.5198740867952;14;1940.4
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;18;5;467.55335131606887;1.3785303023915199;27;2673.0
S5AK09;TURVO III (LEX);Rampazo;18;5;485.00174033075893;1.513739550085731;21;1940.3999999999999
S6C335;FORTALEZA;Tover;18;5;462.15749645501194;1.5198740867952;14;643.4000000000005
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;19;5;467.55335131606887;1.3785303023915199;27;2673.0
S5AK09;TURVO III (LEX);Rampazo;19;5;485.00174033075893;1.513739550085731;21;1940.3999999999999
S6BG08;SINIMBU;Tover;19;5;477.26180002542424;1.5346621322526182;14;1960.0
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;20;5;467.55335131606887;1.3785303023915199;27;2673.0
S5AK09;TURVO III (LEX);Rampazo;20;5;485.00174033075893;1.513739550085731;21;1940.3999999999999
S6BG11;SINIMBU;Tover;20;5;479.286553196587;1.5425665925371712;14;1150.0
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;21;5;467.55335131606887;1.3785303023915199;27;1604.0800000000017
S5AK09;TURVO III (LEX);Rampazo;21;5;485.00174033075893;1.513739550085731;21;1940.3999999999999
S6BG10;SINIMBU;Tover;21;5;479.65062513371606;1.5474716699257756;14;1100.0
S5AK09;TURVO III (LEX);Pastori;22;5;485.00174033075893;1.513739550085731;27;2169.2000000000025
S5AK08;TURVO III (LEX);Rampazo;22;5;484.2538258973078;1.515093704135877;21;1940.3999999999999
S6BG14;SINIMBU;Tover;22;5;481.23848707688614;1.5490566931886653;14;800.0
S5AK08;TURVO III (LEX);Pastori;23;5;484.2538258973078;1.515093704135877;27;2494.7999999999997
S3AX01;INDIANA II;Rampazo;23;5;476.35931165453064;1.546496658710454;21;2494.8
S3AX01;INDIANA II;Pastori;24;5;476.35931165453064;1.546496658710454;27;3207.6
S5AK08;TURVO III (LEX);Rampazo;24;5;484.2538258973078;1.515093704135877;21;1940.3999999999999
S3AX01;INDIANA II;Pastori;25;5;476.35931165453064;1.546496658710454;27;3207.6
S5AK08;TURVO III (LEX);Rampazo;25;5;484.2538258973078;1.515093704135877;21;1940.3999999999999
S5AK08;TURVO III (LEX);Pastori;26;5;484.2538258973078;1.515093704135877;27;2494.7999999999997
S3AX01;INDIANA II;Rampazo;26;5;476.35931165453064;1.546496658710454;21;2494.8
S5AK08;TURVO III (LEX);Pastori;27;5;484.2538258973078;1.515093704135877;27;2494.7999999999997
S3AX01;INDIANA II;Rampazo;27;5;476.35931165453064;1.546496658710454;21;469.7000000000003
S3AX03;INDIANA II;Pastori;28;5;410.08188877940256;1.3022261539839008;27;2124.07
S5AK08;TURVO III (LEX);Rampazo;28;5;484.2538258973078;1.515093704135877;21;358.40000000000236
S3AX04;INDIANA II;Rampazo;29;5;471.0267981311363;1.511823288806421;21;1300.0
