Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan
tai100_20.txt - Instance 1,100,20,1000,0.2,0.01,10,0.9,10,7968,7968
tai100_20.txt - Instance 2,100,20,1000,0.2,0.01,10,0.9,10,7575,7575
tai100_20.txt - Instance 3,100,20,1000,0.2,0.01,10,0.9,10,8170,7833
tai100_20.txt - Instance 4,100,20,1000,0.2,0.01,10,0.9,10,8034,7648
tai100_20.txt - Instance 5,100,20,1000,0.2,0.01,10,0.9,10,8433,8197
tai100_20.txt - Instance 6,100,20,1000,0.2,0.01,10,0.9,10,7820,7595
tai100_20.txt - Instance 7,100,20,1000,0.2,0.01,10,0.9,10,8304,8106
tai100_20.txt - Instance 8,100,20,1000,0.2,0.01,10,0.9,10,7910,7910
tai100_20.txt - Instance 9,100,20,1000,0.2,0.01,10,0.9,10,7843,7843
tai100_20.txt - Instance 10,100,20,1000,0.2,0.01,10,0.9,10,7869,7749
