Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai50_15.txt - Instance 10,50,15,5000,0.2,0.8,10,1.01,100,4471,3933,38.39999461174011
tai50_20.txt - Instance 1,50,20,5000,0.2,0.8,10,1.01,100,4577,4563,79.84750175476074
tai50_20.txt - Instance 2,50,20,5000,0.2,0.8,10,1.01,100,4642,4570,86.71272802352905
tai50_20.txt - Instance 3,50,20,5000,0.2,0.8,10,1.01,100,4210,4210,74.25633716583252
tai50_20.txt - Instance 4,50,20,5000,0.2,0.8,10,1.01,100,4377,4320,70.60775327682495
tai50_20.txt - Instance 5,50,20,5000,0.2,0.8,10,1.01,100,4536,4273,86.36130023002625
tai50_20.txt - Instance 6,50,20,5000,0.2,0.8,10,1.01,100,4944,4472,66.44605493545532
tai50_20.txt - Instance 7,50,20,5000,0.2,0.8,10,1.01,100,4906,4574,81.99767541885376
tai50_20.txt - Instance 8,50,20,5000,0.2,0.8,10,1.01,100,4539,4327,85.94671201705933
tai50_20.txt - Instance 9,50,20,5000,0.2,0.8,10,1.01,100,4651,4529,70.61414313316345
tai50_20.txt - Instance 10,50,20,5000,0.2,0.8,10,1.01,100,4879,4698,74.96747517585754
tai100_20.txt - Instance 1,100,20,5000,0.2,0.8,10,1.01,100,7968,7968,250.6472988128662
tai100_20.txt - Instance 2,100,20,5000,0.2,0.8,10,1.01,100,7575,7575,250.24991941452026
tai100_20.txt - Instance 3,100,20,5000,0.2,0.8,10,1.01,100,8170,7990,254.84103512763977
tai100_20.txt - Instance 4,100,20,5000,0.2,0.8,10,1.01,100,8034,7687,242.77366065979004
tai100_20.txt - Instance 5,100,20,5000,0.2,0.8,10,1.01,100,8433,7873,255.8242268562317
tai100_20.txt - Instance 6,100,20,5000,0.2,0.8,10,1.01,100,7820,7801,235.6121063232422
tai100_20.txt - Instance 7,100,20,5000,0.2,0.8,10,1.01,100,8304,7764,251.50300645828247
tai100_20.txt - Instance 8,100,20,5000,0.2,0.8,10,1.01,100,7910,7708,255.20729160308838
tai100_20.txt - Instance 9,100,20,5000,0.2,0.8,10,1.01,100,7843,7753,253.57353019714355
tai100_20.txt - Instance 10,100,20,5000,0.2,0.8,10,1.01,100,7869,7691,259.4772355556488
tai15_15.txt - Instance 1,15,15,5000,0.2,0.8,10,1.1,100,1865,1676,8.377782106399536
tai15_15.txt - Instance 2,15,15,5000,0.2,0.8,10,1.1,100,1911,1641,8.908151865005493
tai15_15.txt - Instance 3,15,15,5000,0.2,0.8,10,1.1,100,1942,1679,8.824435949325562
tai15_15.txt - Instance 4,15,15,5000,0.2,0.8,10,1.1,100,1946,1652,8.29780888557434
tai15_15.txt - Instance 5,15,15,5000,0.2,0.8,10,1.1,100,1725,1687,8.418754577636719
tai15_15.txt - Instance 6,15,15,5000,0.2,0.8,10,1.1,100,1739,1631,7.947595119476318
tai15_15.txt - Instance 7,15,15,5000,0.2,0.8,10,1.1,100,1993,1642,6.8343000411987305
tai15_15.txt - Instance 8,15,15,5000,0.2,0.8,10,1.1,100,1904,1698,6.568707704544067
tai15_15.txt - Instance 9,15,15,5000,0.2,0.8,10,1.1,100,2057,1763,6.70779275894165
tai15_15.txt - Instance 10,15,15,5000,0.2,0.8,10,1.1,100,1808,1665,6.756384611129761
tai20_15.txt - Instance 1,20,15,5000,0.2,0.8,10,1.1,100,2225,1994,9.784965515136719
tai20_15.txt - Instance 2,20,15,5000,0.2,0.8,10,1.1,100,2266,2027,10.362530708312988
tai20_15.txt - Instance 3,20,15,5000,0.2,0.8,10,1.1,100,2183,1957,10.351294755935669
tai20_15.txt - Instance 4,20,15,5000,0.2,0.8,10,1.1,100,2278,1945,11.547682285308838
tai20_15.txt - Instance 5,20,15,5000,0.2,0.8,10,1.1,100,2335,1925,10.452028274536133
tai20_15.txt - Instance 6,20,15,5000,0.2,0.8,10,1.1,100,2089,2010,10.236356735229492
tai20_15.txt - Instance 7,20,15,5000,0.2,0.8,10,1.1,100,2112,2076,11.179064273834229
tai20_15.txt - Instance 8,20,15,5000,0.2,0.8,10,1.1,100,2197,2003,13.101267099380493
tai20_15.txt - Instance 9,20,15,5000,0.2,0.8,10,1.1,100,2123,1972,12.747928380966187
tai20_15.txt - Instance 10,20,15,5000,0.2,0.8,10,1.1,100,1910,1910,12.79929780960083
tai20_20.txt - Instance 1,20,20,5000,0.2,0.8,10,1.1,100,2679,2481,20.26600956916809
tai20_20.txt - Instance 2,20,20,5000,0.2,0.8,10,1.1,100,2519,2468,18.83208727836609
tai20_20.txt - Instance 3,20,20,5000,0.2,0.8,10,1.1,100,2449,2340,19.449969053268433
tai20_20.txt - Instance 4,20,20,5000,0.2,0.8,10,1.1,100,2773,2464,16.132755994796753
tai20_20.txt - Instance 5,20,20,5000,0.2,0.8,10,1.1,100,2679,2410,17.929609298706055
tai20_20.txt - Instance 6,20,20,5000,0.2,0.8,10,1.1,100,2297,2297,15.51890516281128
tai20_20.txt - Instance 7,20,20,5000,0.2,0.8,10,1.1,100,2870,2561,15.699278354644775
tai20_20.txt - Instance 8,20,20,5000,0.2,0.8,10,1.1,100,2621,2411,18.155319690704346
tai20_20.txt - Instance 9,20,20,5000,0.2,0.8,10,1.1,100,2689,2357,19.786726236343384
tai20_20.txt - Instance 10,20,20,5000,0.2,0.8,10,1.1,100,2691,2313,19.412036657333374
tai30_15.txt - Instance 1,30,15,5000,0.2,0.8,10,1.1,100,3120,2681,23.182234048843384
tai30_15.txt - Instance 2,30,15,5000,0.2,0.8,10,1.1,100,3071,2780,22.366259574890137
tai30_15.txt - Instance 3,30,15,5000,0.2,0.8,10,1.1,100,2795,2795,23.006545066833496
tai30_15.txt - Instance 4,30,15,5000,0.2,0.8,10,1.1,100,3068,2808,22.289368629455566
