Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_initial_t,p_final_t,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,1865,1677,3.0376007556915283
tai15_15.txt - Instance 2,15,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,1911,1656,3.734107732772827
tai15_15.txt - Instance 3,15,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,1942,1563,3.7212276458740234
tai15_15.txt - Instance 4,15,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,1946,1676,4.538147687911987
tai15_15.txt - Instance 5,15,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,1725,1716,2.9457485675811768
tai15_15.txt - Instance 6,15,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,1739,1739,3.0734739303588867
tai15_15.txt - Instance 7,15,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,1993,1736,2.8656675815582275
tai15_15.txt - Instance 8,15,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,1904,1676,3.0866236686706543
tai15_15.txt - Instance 9,15,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2057,1831,3.1686909198760986
tai15_15.txt - Instance 10,15,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,1808,1808,2.9576516151428223
tai20_15.txt - Instance 1,20,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2225,2082,4.475672721862793
tai20_15.txt - Instance 2,20,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2266,2105,4.440887928009033
tai20_15.txt - Instance 3,20,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2183,2116,4.491215705871582
tai20_15.txt - Instance 4,20,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2278,1980,4.339872121810913
tai20_15.txt - Instance 5,20,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2335,1941,4.488617897033691
tai20_15.txt - Instance 6,20,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2089,1979,4.809720516204834
tai20_15.txt - Instance 7,20,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2112,2112,5.657533645629883
tai20_15.txt - Instance 8,20,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2197,1996,4.375367164611816
tai20_15.txt - Instance 9,20,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2123,1980,5.38221001625061
tai20_15.txt - Instance 10,20,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,1910,1910,6.437854051589966
tai20_20.txt - Instance 1,20,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,2679,2478,7.694929361343384
tai20_20.txt - Instance 2,20,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,2519,2375,7.124652624130249
tai20_20.txt - Instance 3,20,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,2449,2449,7.349771738052368
tai20_20.txt - Instance 4,20,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,2773,2279,7.472881317138672
tai20_20.txt - Instance 5,20,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,2679,2362,6.997194290161133
tai20_20.txt - Instance 6,20,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,2297,2297,7.1899473667144775
tai20_20.txt - Instance 7,20,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,2870,2363,7.052649974822998
tai20_20.txt - Instance 8,20,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,2621,2449,7.355397701263428
tai20_20.txt - Instance 9,20,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,2689,2511,7.0089192390441895
tai20_20.txt - Instance 10,20,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,2691,2490,7.505741357803345
tai30_15.txt - Instance 1,30,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,3120,2756,8.097549676895142
tai30_15.txt - Instance 2,30,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,3071,2934,8.527628660202026
tai30_15.txt - Instance 3,30,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2795,2769,8.249983072280884
tai30_15.txt - Instance 4,30,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,3068,2858,9.295402765274048
tai30_15.txt - Instance 5,30,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,3114,2825,8.645804166793823
tai30_15.txt - Instance 6,30,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2967,2669,8.096325635910034
tai30_15.txt - Instance 7,30,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,3144,2877,8.354988813400269
tai30_15.txt - Instance 8,30,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2463,2463,11.525925636291504
tai30_15.txt - Instance 9,30,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,3175,2585,17.294665813446045
tai30_15.txt - Instance 10,30,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,2940,2587,11.100686073303223
tai30_20.txt - Instance 1,30,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,3166,3166,14.021875619888306
tai30_20.txt - Instance 2,30,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,3411,3202,21.0156888961792
tai30_20.txt - Instance 3,30,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,3220,3037,14.264610528945923
tai30_20.txt - Instance 4,30,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,3337,3337,13.329770565032959
tai30_20.txt - Instance 5,30,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,3360,3274,14.196796894073486
tai30_20.txt - Instance 6,30,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,3326,3286,14.480929613113403
tai30_20.txt - Instance 7,30,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,3050,3015,13.317789077758789
tai30_20.txt - Instance 8,30,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,3452,3161,14.056293249130249
tai30_20.txt - Instance 9,30,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,3207,3168,13.757833480834961
