Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_initial_t,p_final_t,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai30_20.txt - Instance 10,30,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,3044,3044,14.750969648361206
tai50_15.txt - Instance 1,50,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,4468,4174,21.45410680770874
tai50_15.txt - Instance 2,50,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,4474,4171,35.83031415939331
tai50_15.txt - Instance 3,50,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,3830,3830,24.255627155303955
tai50_15.txt - Instance 4,50,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,4362,4083,22.35166573524475
tai50_15.txt - Instance 5,50,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,4978,4047,24.756645917892456
tai50_15.txt - Instance 6,50,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,4525,3890,19.804823637008667
tai50_15.txt - Instance 7,50,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,4595,4235,18.846320867538452
tai50_15.txt - Instance 8,50,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,4380,4128,19.11899185180664
tai50_15.txt - Instance 9,50,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,4220,4013,23.716033697128296
tai50_15.txt - Instance 10,50,15,1000,0.3,0.7,20,0.99,500.0,0.1,100,4471,3902,35.293128490448
tai50_20.txt - Instance 1,50,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,4577,4577,35.1657989025116
tai50_20.txt - Instance 2,50,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,4642,4642,33.55129075050354
tai50_20.txt - Instance 3,50,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,4210,4210,51.3845694065094
tai50_20.txt - Instance 4,50,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,4377,4377,1228.0090668201447
tai50_20.txt - Instance 5,50,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,4536,4536,17.885040521621704
tai50_20.txt - Instance 6,50,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,4944,4524,17.97132968902588
tai50_20.txt - Instance 7,50,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,4906,4717,10.549527406692505
tai50_20.txt - Instance 8,50,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,4539,4539,9.953121423721313
tai50_20.txt - Instance 9,50,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,4651,4651,9.813480377197266
tai50_20.txt - Instance 10,50,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,4879,4724,10.390997648239136
tai100_20.txt - Instance 1,100,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,7968,7968,35.04905724525452
tai100_20.txt - Instance 2,100,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,7575,7542,34.34877681732178
tai100_20.txt - Instance 3,100,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,8170,8170,36.09819960594177
tai100_20.txt - Instance 4,100,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,8034,7579,36.38878107070923
tai100_20.txt - Instance 5,100,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,8433,8065,35.955607891082764
tai100_20.txt - Instance 6,100,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,7820,7810,50.89846634864807
tai100_20.txt - Instance 7,100,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,8304,7989,40.34897756576538
tai100_20.txt - Instance 8,100,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,7910,7635,40.5807466506958
tai100_20.txt - Instance 9,100,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,7843,7616,40.5664267539978
tai100_20.txt - Instance 10,100,20,1000,0.3,0.7,20,0.99,500.0,0.1,100,7869,7658,38.866395711898804
tai15_15.txt - Instance 1,15,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,1865,1752,1.0040180683135986
tai15_15.txt - Instance 2,15,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,1911,1728,1.2296020984649658
tai15_15.txt - Instance 3,15,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,1942,1639,1.24336576461792
tai15_15.txt - Instance 4,15,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,1946,1684,1.0210402011871338
tai15_15.txt - Instance 5,15,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,1725,1702,1.0068104267120361
tai15_15.txt - Instance 6,15,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,1739,1659,0.9970571994781494
tai15_15.txt - Instance 7,15,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,1993,1710,1.0048809051513672
tai15_15.txt - Instance 8,15,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,1904,1699,0.9672017097473145
tai15_15.txt - Instance 9,15,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2057,1732,1.0334534645080566
tai15_15.txt - Instance 10,15,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,1808,1729,0.9997744560241699
tai20_15.txt - Instance 1,20,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2225,2028,1.5204415321350098
tai20_15.txt - Instance 2,20,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2266,2070,1.5995807647705078
tai20_15.txt - Instance 3,20,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2183,2043,1.5130350589752197
tai20_15.txt - Instance 4,20,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2278,1963,1.4499382972717285
tai20_15.txt - Instance 5,20,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2335,2058,1.686312198638916
tai20_15.txt - Instance 6,20,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2089,2089,1.6539721488952637
tai20_15.txt - Instance 7,20,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2112,2075,1.5489444732666016
tai20_15.txt - Instance 8,20,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2197,2029,1.5432116985321045
tai20_15.txt - Instance 9,20,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2123,1980,1.5164556503295898
tai20_15.txt - Instance 10,20,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,1910,1910,1.5211777687072754
tai20_20.txt - Instance 1,20,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,2679,2450,2.4559450149536133
tai20_20.txt - Instance 2,20,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,2519,2438,2.5167458057403564
tai20_20.txt - Instance 3,20,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,2449,2437,2.4365179538726807
tai20_20.txt - Instance 4,20,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,2773,2478,2.546481132507324
tai20_20.txt - Instance 5,20,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,2679,2438,2.4831056594848633
tai20_20.txt - Instance 6,20,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,2297,2297,2.449824810028076
tai20_20.txt - Instance 7,20,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,2870,2622,2.5254509449005127
tai20_20.txt - Instance 8,20,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,2621,2329,2.4896059036254883
tai20_20.txt - Instance 9,20,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,2689,2493,2.517129898071289
tai20_20.txt - Instance 10,20,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,2691,2524,2.7999765872955322
tai30_15.txt - Instance 1,30,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,3120,2663,3.3671114444732666
tai30_15.txt - Instance 2,30,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,3071,2756,2.819789409637451
tai30_15.txt - Instance 3,30,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2795,2795,2.862619400024414
tai30_15.txt - Instance 4,30,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,3068,2826,2.8665988445281982
tai30_15.txt - Instance 5,30,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,3114,2826,2.9334640502929688
tai30_15.txt - Instance 6,30,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2967,2930,3.1163201332092285
tai30_15.txt - Instance 7,30,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,3144,2755,3.0313076972961426
tai30_15.txt - Instance 8,30,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2463,2463,2.8928940296173096
tai30_15.txt - Instance 9,30,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,3175,2730,2.824570655822754
tai30_15.txt - Instance 10,30,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,2940,2608,2.9334123134613037
tai30_20.txt - Instance 1,30,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,3166,3166,5.429910182952881
tai30_20.txt - Instance 2,30,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,3411,3170,6.062206029891968
tai30_20.txt - Instance 3,30,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,3220,3220,4.932454347610474
tai30_20.txt - Instance 4,30,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,3337,3146,5.143174648284912
tai30_20.txt - Instance 5,30,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,3360,3140,4.746398210525513
tai30_20.txt - Instance 6,30,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,3326,3326,4.7996931076049805
tai30_20.txt - Instance 7,30,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,3050,3050,5.166722059249878
tai30_20.txt - Instance 8,30,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,3452,3203,4.728660821914673
tai30_20.txt - Instance 9,30,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,3207,3127,4.873934507369995
tai30_20.txt - Instance 10,30,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,3044,3044,5.195096969604492
tai50_15.txt - Instance 1,50,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,4468,4168,7.952381372451782
tai50_15.txt - Instance 2,50,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,4474,4318,7.28007960319519
tai50_15.txt - Instance 3,50,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,3830,3830,6.766772270202637
tai50_15.txt - Instance 4,50,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,4362,3962,6.582882404327393
tai50_15.txt - Instance 5,50,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,4978,4178,6.936347007751465
tai50_15.txt - Instance 6,50,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,4525,3894,6.696223020553589
tai50_15.txt - Instance 7,50,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,4595,4248,7.116668939590454
tai50_15.txt - Instance 8,50,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,4380,4186,7.935285806655884
tai50_15.txt - Instance 9,50,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,4220,4012,6.950851202011108
tai50_15.txt - Instance 10,50,15,1000,0.3,0.7,20,0.995,500.0,0.1,100,4471,3882,8.19152307510376
tai50_20.txt - Instance 1,50,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,4577,4577,11.73300838470459
tai50_20.txt - Instance 2,50,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,4642,4642,12.602830648422241
tai50_20.txt - Instance 3,50,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,4210,4210,11.312893629074097
tai50_20.txt - Instance 4,50,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,4377,4244,12.269566297531128
tai50_20.txt - Instance 5,50,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,4536,4536,11.51315951347351
tai50_20.txt - Instance 6,50,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,4944,4566,11.403145790100098
tai50_20.txt - Instance 7,50,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,4906,4640,12.462352991104126
tai50_20.txt - Instance 8,50,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,4539,4493,11.10306978225708
tai50_20.txt - Instance 9,50,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,4651,4651,11.063086748123169
tai50_20.txt - Instance 10,50,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,4879,4694,11.5993173122406
tai100_20.txt - Instance 1,100,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,7968,7968,39.74868202209473
tai100_20.txt - Instance 2,100,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,7575,7575,39.548285722732544
tai100_20.txt - Instance 3,100,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,8170,8170,45.96485614776611
tai100_20.txt - Instance 4,100,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,8034,7684,44.98161172866821
tai100_20.txt - Instance 5,100,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,8433,8097,41.21022176742554
tai100_20.txt - Instance 6,100,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,7820,7820,42.71991014480591
tai100_20.txt - Instance 7,100,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,8304,8304,43.534432888031006
tai100_20.txt - Instance 8,100,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,7910,7716,39.82896637916565
tai100_20.txt - Instance 9,100,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,7843,7803,40.165499687194824
tai100_20.txt - Instance 10,100,20,1000,0.3,0.7,20,0.995,500.0,0.1,100,7869,7750,39.26504302024841
tai15_15.txt - Instance 1,15,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,1865,1714,1.1829900741577148
tai15_15.txt - Instance 2,15,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,1911,1726,1.0005414485931396
tai15_15.txt - Instance 3,15,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,1942,1772,1.0160763263702393
tai15_15.txt - Instance 4,15,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,1946,1682,1.0673801898956299
tai15_15.txt - Instance 5,15,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,1725,1725,1.0365948677062988
tai15_15.txt - Instance 6,15,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,1739,1537,1.0297510623931885
tai15_15.txt - Instance 7,15,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,1993,1688,1.0333349704742432
tai15_15.txt - Instance 8,15,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,1904,1654,1.0165553092956543
tai15_15.txt - Instance 9,15,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2057,1771,0.9997124671936035
tai15_15.txt - Instance 10,15,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,1808,1769,0.9863460063934326
tai20_15.txt - Instance 1,20,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2225,2064,1.5301368236541748
tai20_15.txt - Instance 2,20,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2266,2088,1.5538232326507568
tai20_15.txt - Instance 3,20,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2183,2085,1.5628981590270996
tai20_15.txt - Instance 4,20,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2278,1921,1.8165991306304932
tai20_15.txt - Instance 5,20,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2335,2083,1.566502332687378
tai20_15.txt - Instance 6,20,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2089,2012,1.5498876571655273
tai20_15.txt - Instance 7,20,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2112,2112,1.5333709716796875
tai20_15.txt - Instance 8,20,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2197,2003,1.5332598686218262
tai20_15.txt - Instance 9,20,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2123,1981,1.549767017364502
tai20_15.txt - Instance 10,20,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,1910,1910,1.483407735824585
tai20_20.txt - Instance 1,20,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,2679,2495,2.4159412384033203
tai20_20.txt - Instance 2,20,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,2519,2419,2.5001070499420166
tai20_20.txt - Instance 3,20,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,2449,2357,2.7999184131622314
tai20_20.txt - Instance 4,20,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,2773,2410,2.502373695373535
tai20_20.txt - Instance 5,20,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,2679,2350,2.37973952293396
tai20_20.txt - Instance 6,20,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,2297,2297,2.4167473316192627
tai20_20.txt - Instance 7,20,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,2870,2658,2.433063268661499
tai20_20.txt - Instance 8,20,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,2621,2446,2.5333895683288574
tai20_20.txt - Instance 9,20,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,2689,2580,2.7540318965911865
tai20_20.txt - Instance 10,20,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,2691,2430,3.045605421066284
tai30_15.txt - Instance 1,30,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,3120,2670,3.2732536792755127
tai30_15.txt - Instance 2,30,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,3071,2818,4.00581693649292
tai30_15.txt - Instance 3,30,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2795,2795,3.093289613723755
tai30_15.txt - Instance 4,30,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,3068,2824,3.2170894145965576
tai30_15.txt - Instance 5,30,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,3114,2837,2.875304937362671
tai30_15.txt - Instance 6,30,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2967,2844,3.0620880126953125
tai30_15.txt - Instance 7,30,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,3144,2755,3.612431764602661
tai30_15.txt - Instance 8,30,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2463,2463,2.899691104888916
tai30_15.txt - Instance 9,30,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,3175,2705,3.1856424808502197
tai30_15.txt - Instance 10,30,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,2940,2641,2.946240186691284
tai30_20.txt - Instance 1,30,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,3166,3166,4.5871992111206055
tai30_20.txt - Instance 2,30,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,3411,3215,4.712538480758667
tai30_20.txt - Instance 3,30,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,3220,3130,4.900018692016602
tai30_20.txt - Instance 4,30,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,3337,3192,4.3335394859313965
tai30_20.txt - Instance 5,30,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,3360,3208,4.437885761260986
tai30_20.txt - Instance 6,30,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,3326,3201,4.344833135604858
tai30_20.txt - Instance 7,30,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,3050,3050,4.674916744232178
tai30_20.txt - Instance 8,30,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,3452,3012,4.47455096244812
tai30_20.txt - Instance 9,30,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,3207,3068,4.3862059116363525
tai30_20.txt - Instance 10,30,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,3044,3044,4.650259733200073
tai50_15.txt - Instance 1,50,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,4468,4240,6.086876630783081
tai50_15.txt - Instance 2,50,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,4474,4138,6.112534761428833
tai50_15.txt - Instance 3,50,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,3830,3830,6.367932319641113
tai50_15.txt - Instance 4,50,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,4362,3852,6.153762578964233
tai50_15.txt - Instance 5,50,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,4978,4209,6.745668649673462
tai50_15.txt - Instance 6,50,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,4525,4117,6.0844597816467285
tai50_15.txt - Instance 7,50,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,4595,4177,6.301057577133179
tai50_15.txt - Instance 8,50,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,4380,4298,6.375929832458496
tai50_15.txt - Instance 9,50,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,4220,4073,7.048088788986206
tai50_15.txt - Instance 10,50,15,1000,0.3,0.7,50,0.99,500.0,0.1,100,4471,3886,6.1821534633636475
tai50_20.txt - Instance 1,50,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,4577,4576,10.149327754974365
tai50_20.txt - Instance 2,50,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,4642,4542,10.44774580001831
tai50_20.txt - Instance 3,50,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,4210,4210,10.235352754592896
tai50_20.txt - Instance 4,50,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,4377,4200,11.498605728149414
tai50_20.txt - Instance 5,50,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,4536,4352,10.983039617538452
tai50_20.txt - Instance 6,50,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,4944,4534,11.816349506378174
tai50_20.txt - Instance 7,50,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,4906,4719,12.786798238754272
tai50_20.txt - Instance 8,50,20,1000,0.3,0.7,50,0.99,500.0,0.1,100,4539,4347,10.61258339881897
