Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai50_15.txt - Instance 10,50,15,100,0.2,0.01,10,0.9,10,4471,4093,0.9140326976776123
tai50_20.txt - Instance 1,50,20,100,0.2,0.01,10,0.9,10,4577,4577,1.648118495941162
tai50_20.txt - Instance 2,50,20,100,0.2,0.01,10,0.9,10,4642,4642,1.3683123588562012
tai50_20.txt - Instance 3,50,20,100,0.2,0.01,10,0.9,10,4210,4210,1.4684727191925049
tai50_20.txt - Instance 4,50,20,100,0.2,0.01,10,0.9,10,4377,4377,1.6831867694854736
tai50_20.txt - Instance 5,50,20,100,0.2,0.01,10,0.9,10,4536,4536,1.6179306507110596
tai50_20.txt - Instance 6,50,20,100,0.2,0.01,10,0.9,10,4944,4867,1.6633076667785645
tai50_20.txt - Instance 7,50,20,100,0.2,0.01,10,0.9,10,4906,4906,1.7667276859283447
tai50_20.txt - Instance 8,50,20,100,0.2,0.01,10,0.9,10,4539,4424,1.5500614643096924
tai50_20.txt - Instance 9,50,20,100,0.2,0.01,10,0.9,10,4651,4651,1.4307234287261963
tai50_20.txt - Instance 10,50,20,100,0.2,0.01,10,0.9,10,4879,4879,1.6040308475494385
tai100_20.txt - Instance 1,100,20,100,0.2,0.01,10,0.9,10,7968,7968,5.182965278625488
tai100_20.txt - Instance 2,100,20,100,0.2,0.01,10,0.9,10,7575,7575,5.23309850692749
tai100_20.txt - Instance 3,100,20,100,0.2,0.01,10,0.9,10,8170,8170,6.058616638183594
tai100_20.txt - Instance 4,100,20,100,0.2,0.01,10,0.9,10,8034,8034,5.8244054317474365
tai100_20.txt - Instance 5,100,20,100,0.2,0.01,10,0.9,10,8433,8433,5.9070539474487305
tai100_20.txt - Instance 6,100,20,100,0.2,0.01,10,0.9,10,7820,7820,6.33649754524231
tai100_20.txt - Instance 7,100,20,100,0.2,0.01,10,0.9,10,8304,8012,5.472526550292969
tai100_20.txt - Instance 8,100,20,100,0.2,0.01,10,0.9,10,7910,7910,6.1663806438446045
tai100_20.txt - Instance 9,100,20,100,0.2,0.01,10,0.9,10,7843,7843,6.531755685806274
tai100_20.txt - Instance 10,100,20,100,0.2,0.01,10,0.9,10,7869,7869,6.217545509338379
tai15_15.txt - Instance 1,15,15,100,0.1,0.01,10,0.9,10,1865,1865,0.2306661605834961
tai15_15.txt - Instance 2,15,15,100,0.1,0.01,10,0.9,10,1911,1787,0.2590641975402832
tai15_15.txt - Instance 3,15,15,100,0.1,0.01,10,0.9,10,1942,1942,0.27457571029663086
tai15_15.txt - Instance 4,15,15,100,0.1,0.01,10,0.9,10,1946,1946,0.18300223350524902
tai15_15.txt - Instance 5,15,15,100,0.1,0.01,10,0.9,10,1725,1725,0.183821439743042
tai15_15.txt - Instance 6,15,15,100,0.1,0.01,10,0.9,10,1739,1739,0.16613125801086426
tai15_15.txt - Instance 7,15,15,100,0.1,0.01,10,0.9,10,1993,1911,0.16966509819030762
tai15_15.txt - Instance 8,15,15,100,0.1,0.01,10,0.9,10,1904,1904,0.1600954532623291
tai15_15.txt - Instance 9,15,15,100,0.1,0.01,10,0.9,10,2057,2057,0.14647746086120605
tai15_15.txt - Instance 10,15,15,100,0.1,0.01,10,0.9,10,1808,1808,0.1623830795288086
tai20_15.txt - Instance 1,20,15,100,0.1,0.01,10,0.9,10,2225,2225,0.2524106502532959
tai20_15.txt - Instance 2,20,15,100,0.1,0.01,10,0.9,10,2266,2266,0.2459716796875
tai20_15.txt - Instance 3,20,15,100,0.1,0.01,10,0.9,10,2183,2183,0.2631645202636719
tai20_15.txt - Instance 4,20,15,100,0.1,0.01,10,0.9,10,2278,2106,0.2533907890319824
tai20_15.txt - Instance 5,20,15,100,0.1,0.01,10,0.9,10,2335,2306,0.24219369888305664
tai20_15.txt - Instance 6,20,15,100,0.1,0.01,10,0.9,10,2089,2089,0.23789143562316895
tai20_15.txt - Instance 7,20,15,100,0.1,0.01,10,0.9,10,2112,2112,0.23324823379516602
tai20_15.txt - Instance 8,20,15,100,0.1,0.01,10,0.9,10,2197,2197,0.24384236335754395
tai20_15.txt - Instance 9,20,15,100,0.1,0.01,10,0.9,10,2123,2123,0.3161327838897705
tai20_15.txt - Instance 10,20,15,100,0.1,0.01,10,0.9,10,1910,1910,0.3438715934753418
tai20_20.txt - Instance 1,20,20,100,0.1,0.01,10,0.9,10,2679,2679,0.557999849319458
