Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,1000,0.2,0.01,10,0.9,10,1865,1720,2.211660623550415
tai15_15.txt - Instance 2,15,15,1000,0.2,0.01,10,0.9,10,1911,1765,1.7820839881896973
tai15_15.txt - Instance 3,15,15,1000,0.2,0.01,10,0.9,10,1942,1723,1.849714756011963
tai15_15.txt - Instance 4,15,15,1000,0.2,0.01,10,0.9,10,1946,1728,1.7672066688537598
tai15_15.txt - Instance 5,15,15,1000,0.2,0.01,10,0.9,10,1725,1725,2.31339168548584
tai15_15.txt - Instance 6,15,15,1000,0.2,0.01,10,0.9,10,1739,1581,3.2948615550994873
tai15_15.txt - Instance 7,15,15,1000,0.2,0.01,10,0.9,10,1993,1746,4.461000442504883
tai15_15.txt - Instance 8,15,15,1000,0.2,0.01,10,0.9,10,1904,1719,4.199970483779907
tai15_15.txt - Instance 9,15,15,1000,0.2,0.01,10,0.9,10,2057,1780,4.222578525543213
tai15_15.txt - Instance 10,15,15,1000,0.2,0.01,10,0.9,10,1808,1711,4.08967399597168
tai20_15.txt - Instance 1,20,15,1000,0.2,0.01,10,0.9,10,2225,2035,7.015076398849487
tai20_15.txt - Instance 2,20,15,1000,0.2,0.01,10,0.9,10,2266,2081,5.840322017669678
tai20_15.txt - Instance 3,20,15,1000,0.2,0.01,10,0.9,10,2183,1980,12.116559028625488
tai20_15.txt - Instance 4,20,15,1000,0.2,0.01,10,0.9,10,2278,1985,3.1387932300567627
tai20_15.txt - Instance 5,20,15,1000,0.2,0.01,10,0.9,10,2335,1998,2.790600538253784
tai20_15.txt - Instance 6,20,15,1000,0.2,0.01,10,0.9,10,2089,1993,3.3004531860351562
tai20_15.txt - Instance 7,20,15,1000,0.2,0.01,10,0.9,10,2112,2052,3.1074719429016113
tai20_15.txt - Instance 8,20,15,1000,0.2,0.01,10,0.9,10,2197,1943,2.8771634101867676
tai20_15.txt - Instance 9,20,15,1000,0.2,0.01,10,0.9,10,2123,2012,3.206146001815796
tai20_15.txt - Instance 10,20,15,1000,0.2,0.01,10,0.9,10,1910,1910,3.3249967098236084
tai20_20.txt - Instance 1,20,20,1000,0.2,0.01,10,0.9,10,2679,2458,5.225261926651001
