Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_initial_t,p_final_t,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,1865,1657,4.501983880996704
tai15_15.txt - Instance 2,15,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,1911,1696,4.567761182785034
tai15_15.txt - Instance 3,15,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,1942,1581,4.460835695266724
tai15_15.txt - Instance 4,15,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,1946,1655,4.459324359893799
tai15_15.txt - Instance 5,15,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,1725,1628,4.553909778594971
tai15_15.txt - Instance 6,15,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,1739,1626,4.611077070236206
tai15_15.txt - Instance 7,15,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,1993,1632,4.483949184417725
tai15_15.txt - Instance 8,15,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,1904,1653,4.535197019577026
tai15_15.txt - Instance 9,15,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,2057,1752,4.655815362930298
tai15_15.txt - Instance 10,15,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,1808,1714,4.440261363983154
tai20_15.txt - Instance 1,20,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,2225,1942,6.726971864700317
tai20_15.txt - Instance 2,20,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,2266,2003,6.872671604156494
tai20_15.txt - Instance 3,20,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,2183,2018,6.8201470375061035
tai20_15.txt - Instance 4,20,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,2278,1823,6.888152360916138
tai20_15.txt - Instance 5,20,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,2335,1978,6.715911865234375
tai20_15.txt - Instance 6,20,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,2089,2011,6.835918426513672
tai20_15.txt - Instance 7,20,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,2112,2005,6.844728231430054
tai20_15.txt - Instance 8,20,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,2197,1960,6.747555732727051
tai20_15.txt - Instance 9,20,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,2123,1840,6.834472179412842
tai20_15.txt - Instance 10,20,15,5000,0.3,0.8,50,0.995,500.0,0.1,100,1910,1910,6.748153209686279
tai20_20.txt - Instance 1,20,20,5000,0.3,0.8,50,0.995,500.0,0.1,100,2679,2465,11.254777193069458
tai20_20.txt - Instance 2,20,20,5000,0.3,0.8,50,0.995,500.0,0.1,100,2519,2314,11.615118503570557
tai20_20.txt - Instance 3,20,20,5000,0.3,0.8,50,0.995,500.0,0.1,100,2449,2339,12.260092735290527
tai20_20.txt - Instance 4,20,20,5000,0.3,0.8,50,0.995,500.0,0.1,100,2773,2409,11.258600950241089
tai20_20.txt - Instance 5,20,20,5000,0.3,0.8,50,0.995,500.0,0.1,100,2679,2457,11.449666261672974
tai20_20.txt - Instance 6,20,20,5000,0.3,0.8,50,0.995,500.0,0.1,100,2297,2297,11.029957056045532
