Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,1000,0.3,0.9,50,1.01,50,1865,1717,1.2492256164550781
tai15_15.txt - Instance 2,15,15,1000,0.3,0.9,50,1.01,50,1911,1726,1.229419231414795
tai15_15.txt - Instance 3,15,15,1000,0.3,0.9,50,1.01,50,1942,1753,1.1835894584655762
tai15_15.txt - Instance 4,15,15,1000,0.3,0.9,50,1.01,50,1946,1694,1.1772189140319824
tai15_15.txt - Instance 5,15,15,1000,0.3,0.9,50,1.01,50,1725,1725,1.1890151500701904
tai15_15.txt - Instance 6,15,15,1000,0.3,0.9,50,1.01,50,1739,1739,1.1668915748596191
tai15_15.txt - Instance 7,15,15,1000,0.3,0.9,50,1.01,50,1993,1697,1.1742439270019531
tai15_15.txt - Instance 8,15,15,1000,0.3,0.9,50,1.01,50,1904,1783,1.1753880977630615
tai15_15.txt - Instance 9,15,15,1000,0.3,0.9,50,1.01,50,2057,1753,1.1674599647521973
tai15_15.txt - Instance 10,15,15,1000,0.3,0.9,50,1.01,50,1808,1731,1.1657805442810059
tai20_15.txt - Instance 1,20,15,1000,0.3,0.9,50,1.01,50,2225,2077,1.7164947986602783
tai20_15.txt - Instance 2,20,15,1000,0.3,0.9,50,1.01,50,2266,2118,1.7672152519226074
tai20_15.txt - Instance 3,20,15,1000,0.3,0.9,50,1.01,50,2183,2019,1.7252144813537598
tai20_15.txt - Instance 4,20,15,1000,0.3,0.9,50,1.01,50,2278,1983,1.704294204711914
tai20_15.txt - Instance 5,20,15,1000,0.3,0.9,50,1.01,50,2335,2064,1.6851651668548584
tai20_15.txt - Instance 6,20,15,1000,0.3,0.9,50,1.01,50,2089,2089,1.74188232421875
tai20_15.txt - Instance 7,20,15,1000,0.3,0.9,50,1.01,50,2112,2112,1.7091708183288574
tai20_15.txt - Instance 8,20,15,1000,0.3,0.9,50,1.01,50,2197,2142,1.7526919841766357
tai20_15.txt - Instance 9,20,15,1000,0.3,0.9,50,1.01,50,2123,2018,1.6797292232513428
tai20_15.txt - Instance 10,20,15,1000,0.3,0.9,50,1.01,50,1910,1910,1.6999485492706299
tai20_20.txt - Instance 1,20,20,1000,0.3,0.9,50,1.01,50,2679,2522,2.816817283630371
tai20_20.txt - Instance 2,20,20,1000,0.3,0.9,50,1.01,50,2519,2487,2.7077383995056152
tai20_20.txt - Instance 3,20,20,1000,0.3,0.9,50,1.01,50,2449,2386,2.7086129188537598
tai20_20.txt - Instance 4,20,20,1000,0.3,0.9,50,1.01,50,2773,2571,2.754549264907837
tai20_20.txt - Instance 5,20,20,1000,0.3,0.9,50,1.01,50,2679,2472,2.7114417552948
tai20_20.txt - Instance 6,20,20,1000,0.3,0.9,50,1.01,50,2297,2297,2.7340240478515625
tai20_20.txt - Instance 7,20,20,1000,0.3,0.9,50,1.01,50,2870,2549,2.9662439823150635
tai20_20.txt - Instance 8,20,20,1000,0.3,0.9,50,1.01,50,2621,2533,2.7886929512023926
tai20_20.txt - Instance 9,20,20,1000,0.3,0.9,50,1.01,50,2689,2521,2.665876865386963
tai20_20.txt - Instance 10,20,20,1000,0.3,0.9,50,1.01,50,2691,2493,2.7212367057800293
tai30_15.txt - Instance 1,30,15,1000,0.3,0.9,50,1.01,50,3120,2764,3.025998830795288
tai30_15.txt - Instance 2,30,15,1000,0.3,0.9,50,1.01,50,3071,2835,3.0517008304595947
tai30_15.txt - Instance 3,30,15,1000,0.3,0.9,50,1.01,50,2795,2795,2.978351593017578
tai30_15.txt - Instance 4,30,15,1000,0.3,0.9,50,1.01,50,3068,2834,2.999678373336792
tai30_15.txt - Instance 5,30,15,1000,0.3,0.9,50,1.01,50,3114,2854,3.021885633468628
tai30_15.txt - Instance 6,30,15,1000,0.3,0.9,50,1.01,50,2967,2909,3.02805233001709
tai30_15.txt - Instance 7,30,15,1000,0.3,0.9,50,1.01,50,3144,2767,2.9997751712799072
tai30_15.txt - Instance 8,30,15,1000,0.3,0.9,50,1.01,50,2463,2463,3.0998125076293945
tai30_15.txt - Instance 9,30,15,1000,0.3,0.9,50,1.01,50,3175,2791,2.916822910308838
tai30_15.txt - Instance 10,30,15,1000,0.3,0.9,50,1.01,50,2940,2600,3.052809000015259
tai30_20.txt - Instance 1,30,20,1000,0.3,0.9,50,1.01,50,3166,3166,4.817749261856079
tai30_20.txt - Instance 2,30,20,1000,0.3,0.9,50,1.01,50,3411,3280,4.927050352096558
tai30_20.txt - Instance 3,30,20,1000,0.3,0.9,50,1.01,50,3220,3081,4.919408798217773
tai30_20.txt - Instance 4,30,20,1000,0.3,0.9,50,1.01,50,3337,3311,4.896561861038208
tai30_20.txt - Instance 5,30,20,1000,0.3,0.9,50,1.01,50,3360,3252,4.98462438583374
tai30_20.txt - Instance 6,30,20,1000,0.3,0.9,50,1.01,50,3326,3322,4.881215572357178
