Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_initial_t,p_final_t,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai50_15.txt - Instance 2,50,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,4474,4074,69.46824765205383
tai50_15.txt - Instance 3,50,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,3830,3797,70.16999793052673
tai50_15.txt - Instance 4,50,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,4362,3827,67.79849696159363
tai50_15.txt - Instance 5,50,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,4978,3877,70.798410654068
tai50_15.txt - Instance 6,50,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,4525,4004,69.57318234443665
tai50_15.txt - Instance 7,50,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,4595,4022,69.75527358055115
tai50_15.txt - Instance 8,50,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,4380,4106,82.92710089683533
tai50_15.txt - Instance 9,50,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,4220,3965,62.71404147148132
tai50_15.txt - Instance 10,50,15,10000,0.3,0.8,50,0.995,500.0,0.1,100,4471,3832,66.92300152778625
tai50_20.txt - Instance 1,50,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,4577,4516,136.56197547912598
tai50_20.txt - Instance 2,50,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,4642,4394,125.75032162666321
tai50_20.txt - Instance 3,50,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,4210,4210,134.0131549835205
tai50_20.txt - Instance 4,50,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,4377,4039,146.42995405197144
tai50_20.txt - Instance 5,50,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,4536,4320,189.69480156898499
tai50_20.txt - Instance 6,50,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,4944,4345,233.86836338043213
tai50_20.txt - Instance 7,50,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,4906,4628,230.33327269554138
tai50_20.txt - Instance 8,50,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,4539,4353,232.42991638183594
tai50_20.txt - Instance 9,50,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,4651,4632,231.65932512283325
tai50_20.txt - Instance 10,50,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,4879,4372,159.5057988166809
tai100_20.txt - Instance 1,100,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,7968,7754,467.91459369659424
tai100_20.txt - Instance 2,100,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,7575,7575,558.0744409561157
tai100_20.txt - Instance 3,100,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,8170,8071,602.0025956630707
tai100_20.txt - Instance 4,100,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,8034,7561,339.2763707637787
tai100_20.txt - Instance 5,100,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,8433,7732,340.15375542640686
tai100_20.txt - Instance 6,100,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,7820,7582,337.5040445327759
tai100_20.txt - Instance 7,100,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,8304,7731,340.2095477581024
tai100_20.txt - Instance 8,100,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,7910,7457,338.24757742881775
tai100_20.txt - Instance 9,100,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,7843,7587,340.74571442604065
tai100_20.txt - Instance 10,100,20,10000,0.3,0.8,50,0.995,500.0,0.1,100,7869,7500,344.9597246646881
