Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,1000,0.5,0.01,100,0.9,10,1865,1697,2.0785298347473145
tai15_15.txt - Instance 2,15,15,1000,0.5,0.01,100,0.9,10,1911,1713,2.6088333129882812
tai15_15.txt - Instance 3,15,15,1000,0.5,0.01,100,0.9,10,1942,1675,2.82243275642395
tai15_15.txt - Instance 4,15,15,1000,0.5,0.01,100,0.9,10,1946,1792,2.125962257385254
tai15_15.txt - Instance 5,15,15,1000,0.5,0.01,100,0.9,10,1725,1725,2.3311450481414795
tai15_15.txt - Instance 6,15,15,1000,0.5,0.01,100,0.9,10,1739,1719,1.99322509765625
tai15_15.txt - Instance 7,15,15,1000,0.5,0.01,100,0.9,10,1993,1772,2.4103362560272217
tai15_15.txt - Instance 8,15,15,1000,0.5,0.01,100,0.9,10,1904,1681,2.343885898590088
tai15_15.txt - Instance 9,15,15,1000,0.5,0.01,100,0.9,10,2057,1813,1.9585957527160645
tai15_15.txt - Instance 10,15,15,1000,0.5,0.01,100,0.9,10,1808,1788,1.9024438858032227
tai20_15.txt - Instance 1,20,15,1000,0.5,0.01,100,0.9,10,2225,1984,2.803480386734009
tai20_15.txt - Instance 2,20,15,1000,0.5,0.01,100,0.9,10,2266,2100,3.2629106044769287
tai20_15.txt - Instance 3,20,15,1000,0.5,0.01,100,0.9,10,2183,2066,3.0917153358459473
tai20_15.txt - Instance 4,20,15,1000,0.5,0.01,100,0.9,10,2278,2023,3.5991036891937256
tai20_15.txt - Instance 5,20,15,1000,0.5,0.01,100,0.9,10,2335,2083,3.115983724594116
tai20_15.txt - Instance 6,20,15,1000,0.5,0.01,100,0.9,10,2089,2089,3.517263650894165
tai20_15.txt - Instance 7,20,15,1000,0.5,0.01,100,0.9,10,2112,2098,2.9638123512268066
tai20_15.txt - Instance 8,20,15,1000,0.5,0.01,100,0.9,10,2197,2092,2.848897695541382
tai20_15.txt - Instance 9,20,15,1000,0.5,0.01,100,0.9,10,2123,1980,3.4678852558135986
tai20_15.txt - Instance 10,20,15,1000,0.5,0.01,100,0.9,10,1910,1910,3.346323013305664
tai20_20.txt - Instance 1,20,20,1000,0.5,0.01,100,0.9,10,2679,2378,4.875755786895752
tai20_20.txt - Instance 2,20,20,1000,0.5,0.01,100,0.9,10,2519,2519,6.425695419311523
tai20_20.txt - Instance 3,20,20,1000,0.5,0.01,100,0.9,10,2449,2406,5.597425222396851
tai20_20.txt - Instance 4,20,20,1000,0.5,0.01,100,0.9,10,2773,2500,5.457345724105835
