Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai50_20.txt - Instance 1,50,20,500,0.2,0.01,10,0.9,10,4577,4577,5.818626165390015
tai50_20.txt - Instance 2,50,20,500,0.2,0.01,10,0.9,10,4642,4642,6.20561671257019
tai50_20.txt - Instance 3,50,20,500,0.2,0.01,10,0.9,10,4210,4210,6.231658697128296
tai50_20.txt - Instance 4,50,20,500,0.2,0.01,10,0.9,10,4377,4377,6.260373592376709
tai50_20.txt - Instance 5,50,20,500,0.2,0.01,10,0.9,10,4536,4508,6.317840099334717
tai50_20.txt - Instance 6,50,20,500,0.2,0.01,10,0.9,10,4944,4461,5.849092245101929
tai50_20.txt - Instance 7,50,20,500,0.2,0.01,10,0.9,10,4906,4567,6.202210903167725
tai50_20.txt - Instance 8,50,20,500,0.2,0.01,10,0.9,10,4539,4277,6.2723588943481445
tai50_20.txt - Instance 9,50,20,500,0.2,0.01,10,0.9,10,4651,4621,6.498425245285034
tai50_20.txt - Instance 10,50,20,500,0.2,0.01,10,0.9,10,4879,4848,7.886592626571655
tai100_20.txt - Instance 1,100,20,500,0.2,0.01,10,0.9,10,7968,7968,26.042301177978516
tai100_20.txt - Instance 2,100,20,500,0.2,0.01,10,0.9,10,7575,7575,20.44883966445923
tai100_20.txt - Instance 3,100,20,500,0.2,0.01,10,0.9,10,8170,8170,20.915533542633057
tai100_20.txt - Instance 4,100,20,500,0.2,0.01,10,0.9,10,8034,7831,20.024110555648804
tai100_20.txt - Instance 5,100,20,500,0.2,0.01,10,0.9,10,8433,7937,22.472427368164062
tai100_20.txt - Instance 6,100,20,500,0.2,0.01,10,0.9,10,7820,7820,22.789966106414795
tai100_20.txt - Instance 7,100,20,500,0.2,0.01,10,0.9,10,8304,8058,23.792219877243042
tai100_20.txt - Instance 8,100,20,500,0.2,0.01,10,0.9,10,7910,7910,22.815823554992676
tai100_20.txt - Instance 9,100,20,500,0.2,0.01,10,0.9,10,7843,7843,24.43254590034485
tai100_20.txt - Instance 10,100,20,500,0.2,0.01,10,0.9,10,7869,7834,23.06044602394104
