Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_initial_t,p_final_t,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,1865,1550,8.804601907730103
tai15_15.txt - Instance 2,15,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,1911,1633,8.779911994934082
tai15_15.txt - Instance 3,15,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,1942,1694,8.84931230545044
tai15_15.txt - Instance 4,15,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,1946,1683,8.686189413070679
tai15_15.txt - Instance 5,15,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,1725,1614,8.66275930404663
tai15_15.txt - Instance 6,15,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,1739,1635,8.649125576019287
tai15_15.txt - Instance 7,15,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,1993,1656,8.74983811378479
tai15_15.txt - Instance 8,15,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,1904,1641,9.232858896255493
tai15_15.txt - Instance 9,15,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2057,1754,8.799576044082642
tai15_15.txt - Instance 10,15,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,1808,1673,8.623096466064453
tai20_15.txt - Instance 1,20,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2225,1953,13.059722423553467
tai20_15.txt - Instance 2,20,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2266,1876,13.052580833435059
tai20_15.txt - Instance 3,20,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2183,1958,13.09666132926941
tai20_15.txt - Instance 4,20,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2278,1925,13.082261800765991
tai20_15.txt - Instance 5,20,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2335,2005,13.819267988204956
tai20_15.txt - Instance 6,20,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2089,1958,13.061202049255371
tai20_15.txt - Instance 7,20,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2112,2002,13.15036129951477
tai20_15.txt - Instance 8,20,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2197,1923,13.565706014633179
tai20_15.txt - Instance 9,20,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2123,1986,13.315690755844116
tai20_15.txt - Instance 10,20,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,1910,1910,14.34939455986023
tai20_20.txt - Instance 1,20,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,2679,2423,21.08263850212097
tai20_20.txt - Instance 2,20,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,2519,2325,21.425976991653442
tai20_20.txt - Instance 3,20,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,2449,2252,21.205283164978027
tai20_20.txt - Instance 4,20,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,2773,2404,21.821342945098877
tai20_20.txt - Instance 5,20,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,2679,2400,21.210030794143677
tai20_20.txt - Instance 6,20,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,2297,2297,21.099060773849487
tai20_20.txt - Instance 7,20,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,2870,2464,21.557020902633667
tai20_20.txt - Instance 8,20,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,2621,2294,22.242415189743042
tai20_20.txt - Instance 9,20,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,2689,2352,21.548956394195557
tai20_20.txt - Instance 10,20,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,2691,2212,21.448432445526123
tai30_15.txt - Instance 1,30,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,3120,2670,23.99990463256836
tai30_15.txt - Instance 2,30,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,3071,2673,24.481918811798096
tai30_15.txt - Instance 3,30,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2795,2751,23.970672369003296
tai30_15.txt - Instance 4,30,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,3068,2656,23.811110734939575
tai30_15.txt - Instance 5,30,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,3114,2701,23.965682983398438
tai30_15.txt - Instance 6,30,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2967,2708,24.148897171020508
tai30_15.txt - Instance 7,30,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,3144,2631,24.28300952911377
tai30_15.txt - Instance 8,30,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2463,2463,23.915356874465942
tai30_15.txt - Instance 9,30,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,3175,2685,23.899009227752686
tai30_15.txt - Instance 10,30,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,2940,2459,24.632358074188232
tai30_20.txt - Instance 1,30,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,3166,3166,39.616063356399536
tai30_20.txt - Instance 2,30,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,3411,2994,39.2112090587616
tai30_20.txt - Instance 3,30,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,3220,3056,40.19877052307129
tai30_20.txt - Instance 4,30,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,3337,3181,38.915223836898804
tai30_20.txt - Instance 5,30,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,3360,3156,39.2389395236969
tai30_20.txt - Instance 6,30,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,3326,3268,39.82615518569946
tai30_20.txt - Instance 7,30,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,3050,3050,39.54806208610535
tai30_20.txt - Instance 8,30,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,3452,3020,39.188191175460815
tai30_20.txt - Instance 9,30,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,3207,3070,40.414305210113525
tai30_20.txt - Instance 10,30,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,3044,3044,37.76515007019043
tai50_15.txt - Instance 1,50,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,4468,3943,56.246498584747314
tai50_15.txt - Instance 2,50,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,4474,4050,55.04964780807495
tai50_15.txt - Instance 3,50,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,3830,3830,55.53089380264282
tai50_15.txt - Instance 4,50,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,4362,3814,56.71449565887451
tai50_15.txt - Instance 5,50,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,4978,3988,56.05657458305359
tai50_15.txt - Instance 6,50,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,4525,3949,55.217297315597534
tai50_15.txt - Instance 7,50,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,4595,3955,55.17218208312988
tai50_15.txt - Instance 8,50,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,4380,4054,55.98084807395935
tai50_15.txt - Instance 9,50,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,4220,3771,55.39558434486389
tai50_15.txt - Instance 10,50,15,10000,0.3,0.7,20,0.99,500.0,0.1,100,4471,3948,55.0002224445343
tai50_20.txt - Instance 1,50,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,4577,4577,88.31370615959167
tai50_20.txt - Instance 2,50,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,4642,4548,91.66270518302917
tai50_20.txt - Instance 3,50,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,4210,4210,92.23949027061462
tai50_20.txt - Instance 4,50,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,4377,4056,93.59287142753601
tai50_20.txt - Instance 5,50,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,4536,4247,94.98870253562927
tai50_20.txt - Instance 6,50,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,4944,4474,93.02253913879395
tai50_20.txt - Instance 7,50,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,4906,4435,92.41499710083008
tai50_20.txt - Instance 8,50,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,4539,4539,89.31141948699951
tai50_20.txt - Instance 9,50,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,4651,4394,92.7522029876709
tai50_20.txt - Instance 10,50,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,4879,4471,90.83811950683594
tai100_20.txt - Instance 1,100,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,7968,7968,301.7297308444977
tai100_20.txt - Instance 2,100,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,7575,7575,303.9073464870453
tai100_20.txt - Instance 3,100,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,8170,7896,305.3777585029602
tai100_20.txt - Instance 4,100,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,8034,7493,317.60518312454224
tai100_20.txt - Instance 5,100,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,8433,7669,315.8550329208374
tai100_20.txt - Instance 6,100,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,7820,7820,306.8226797580719
tai100_20.txt - Instance 7,100,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,8304,7700,315.73736906051636
tai100_20.txt - Instance 8,100,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,7910,7551,320.0973560810089
tai100_20.txt - Instance 9,100,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,7843,7607,317.1782147884369
tai100_20.txt - Instance 10,100,20,10000,0.3,0.7,20,0.99,500.0,0.1,100,7869,7353,315.877925157547
tai15_15.txt - Instance 1,15,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,1865,1766,8.70032024383545
tai15_15.txt - Instance 2,15,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,1911,1637,8.905459642410278
tai15_15.txt - Instance 3,15,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,1942,1675,8.95197582244873
tai15_15.txt - Instance 4,15,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,1946,1690,8.871726751327515
tai15_15.txt - Instance 5,15,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,1725,1656,8.91124963760376
tai15_15.txt - Instance 6,15,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,1739,1631,8.863855361938477
tai15_15.txt - Instance 7,15,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,1993,1652,8.969876766204834
tai15_15.txt - Instance 8,15,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,1904,1636,9.3477942943573
tai15_15.txt - Instance 9,15,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2057,1625,8.866408348083496
tai15_15.txt - Instance 10,15,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,1808,1552,8.800144910812378
tai20_15.txt - Instance 1,20,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2225,1983,13.46968674659729
tai20_15.txt - Instance 2,20,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2266,1959,13.426961183547974
tai20_15.txt - Instance 3,20,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2183,1893,13.339339017868042
tai20_15.txt - Instance 4,20,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2278,1879,13.325783729553223
tai20_15.txt - Instance 5,20,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2335,1939,13.380129098892212
tai20_15.txt - Instance 6,20,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2089,1954,13.399811029434204
tai20_15.txt - Instance 7,20,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2112,2112,13.466100215911865
tai20_15.txt - Instance 8,20,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2197,1935,13.24981164932251
tai20_15.txt - Instance 9,20,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2123,1935,13.30980396270752
tai20_15.txt - Instance 10,20,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,1910,1910,13.370368480682373
tai20_20.txt - Instance 1,20,20,10000,0.3,0.7,20,0.995,500.0,0.1,100,2679,2375,22.099011182785034
tai20_20.txt - Instance 2,20,20,10000,0.3,0.7,20,0.995,500.0,0.1,100,2519,2331,21.79950761795044
tai20_20.txt - Instance 3,20,20,10000,0.3,0.7,20,0.995,500.0,0.1,100,2449,2205,22.470146894454956
tai20_20.txt - Instance 4,20,20,10000,0.3,0.7,20,0.995,500.0,0.1,100,2773,2184,22.490705013275146
tai20_20.txt - Instance 5,20,20,10000,0.3,0.7,20,0.995,500.0,0.1,100,2679,2238,21.86985158920288
tai20_20.txt - Instance 6,20,20,10000,0.3,0.7,20,0.995,500.0,0.1,100,2297,2297,21.86040496826172
tai20_20.txt - Instance 7,20,20,10000,0.3,0.7,20,0.995,500.0,0.1,100,2870,2379,21.420564889907837
tai20_20.txt - Instance 8,20,20,10000,0.3,0.7,20,0.995,500.0,0.1,100,2621,2386,21.618255138397217
tai20_20.txt - Instance 9,20,20,10000,0.3,0.7,20,0.995,500.0,0.1,100,2689,2322,22.479767560958862
tai20_20.txt - Instance 10,20,20,10000,0.3,0.7,20,0.995,500.0,0.1,100,2691,2308,21.66844654083252
tai30_15.txt - Instance 1,30,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,3120,2554,24.727310180664062
tai30_15.txt - Instance 2,30,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,3071,2679,24.782390117645264
tai30_15.txt - Instance 3,30,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,2795,2681,24.75552725791931
tai30_15.txt - Instance 4,30,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,3068,2730,25.259026527404785
tai30_15.txt - Instance 5,30,15,10000,0.3,0.7,20,0.995,500.0,0.1,100,3114,2737,24.60587430000305
