Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,2000,0.2,0.0,0,1.0,2000,1865,1675,2.444350481033325
tai15_15.txt - Instance 2,15,15,2000,0.2,0.0,0,1.0,2000,1911,1663,2.440667152404785
tai15_15.txt - Instance 3,15,15,2000,0.2,0.0,0,1.0,2000,1942,1655,2.5950746536254883
tai15_15.txt - Instance 4,15,15,2000,0.2,0.0,0,1.0,2000,1946,1729,2.5936279296875
tai15_15.txt - Instance 5,15,15,2000,0.2,0.0,0,1.0,2000,1725,1707,2.606106758117676
tai15_15.txt - Instance 6,15,15,2000,0.2,0.0,0,1.0,2000,1739,1687,2.522888660430908
tai15_15.txt - Instance 7,15,15,2000,0.2,0.0,0,1.0,2000,1993,1689,2.4577746391296387
tai15_15.txt - Instance 8,15,15,2000,0.2,0.0,0,1.0,2000,1904,1669,2.5190465450286865
tai15_15.txt - Instance 9,15,15,2000,0.2,0.0,0,1.0,2000,2057,1724,2.5999488830566406
tai15_15.txt - Instance 10,15,15,2000,0.2,0.0,0,1.0,2000,1808,1732,2.4697940349578857
tai20_15.txt - Instance 1,20,15,2000,0.2,0.0,0,1.0,2000,2225,2001,3.6655380725860596
tai20_15.txt - Instance 2,20,15,2000,0.2,0.0,0,1.0,2000,2266,2051,3.568004608154297
tai20_15.txt - Instance 3,20,15,2000,0.2,0.0,0,1.0,2000,2183,2045,3.5038344860076904
tai20_15.txt - Instance 4,20,15,2000,0.2,0.0,0,1.0,2000,2278,2024,3.7733922004699707
tai20_15.txt - Instance 5,20,15,2000,0.2,0.0,0,1.0,2000,2335,2115,3.6811375617980957
tai20_15.txt - Instance 6,20,15,2000,0.2,0.0,0,1.0,2000,2089,2089,3.6814098358154297
tai20_15.txt - Instance 7,20,15,2000,0.2,0.0,0,1.0,2000,2112,2112,3.6867411136627197
tai20_15.txt - Instance 8,20,15,2000,0.2,0.0,0,1.0,2000,2197,2098,3.9295730590820312
tai20_15.txt - Instance 9,20,15,2000,0.2,0.0,0,1.0,2000,2123,1917,3.6836347579956055
tai20_15.txt - Instance 10,20,15,2000,0.2,0.0,0,1.0,2000,1910,1910,4.44047212600708
tai20_20.txt - Instance 1,20,20,2000,0.2,0.0,0,1.0,2000,2679,2383,5.783339738845825
tai20_20.txt - Instance 2,20,20,2000,0.2,0.0,0,1.0,2000,2519,2465,5.980492830276489
tai20_20.txt - Instance 3,20,20,2000,0.2,0.0,0,1.0,2000,2449,2307,5.749480724334717
tai20_20.txt - Instance 4,20,20,2000,0.2,0.0,0,1.0,2000,2773,2520,5.973351955413818
tai20_20.txt - Instance 5,20,20,2000,0.2,0.0,0,1.0,2000,2679,2476,6.576650381088257
tai20_20.txt - Instance 6,20,20,2000,0.2,0.0,0,1.0,2000,2297,2297,9.397791385650635
tai20_20.txt - Instance 7,20,20,2000,0.2,0.0,0,1.0,2000,2870,2600,8.527104139328003
tai20_20.txt - Instance 8,20,20,2000,0.2,0.0,0,1.0,2000,2621,2452,8.018378257751465
tai20_20.txt - Instance 9,20,20,2000,0.2,0.0,0,1.0,2000,2689,2418,7.481622219085693
tai20_20.txt - Instance 10,20,20,2000,0.2,0.0,0,1.0,2000,2691,2417,7.755226135253906
tai30_15.txt - Instance 1,30,15,2000,0.2,0.0,0,1.0,2000,3120,2699,9.047030687332153
tai30_15.txt - Instance 2,30,15,2000,0.2,0.0,0,1.0,2000,3071,2851,10.28002381324768
tai30_15.txt - Instance 3,30,15,2000,0.2,0.0,0,1.0,2000,2795,2795,9.020078897476196
tai30_15.txt - Instance 4,30,15,2000,0.2,0.0,0,1.0,2000,3068,2818,11.449892282485962
tai30_15.txt - Instance 5,30,15,2000,0.2,0.0,0,1.0,2000,3114,2762,8.921138286590576
tai30_15.txt - Instance 6,30,15,2000,0.2,0.0,0,1.0,2000,2967,2819,10.68790864944458
tai30_15.txt - Instance 7,30,15,2000,0.2,0.0,0,1.0,2000,3144,2598,9.89998173713684
tai30_15.txt - Instance 8,30,15,2000,0.2,0.0,0,1.0,2000,2463,2463,8.478617191314697
tai30_15.txt - Instance 9,30,15,2000,0.2,0.0,0,1.0,2000,3175,2738,9.047620296478271
tai30_15.txt - Instance 10,30,15,2000,0.2,0.0,0,1.0,2000,2940,2681,8.129666566848755
tai30_20.txt - Instance 1,30,20,2000,0.2,0.0,0,1.0,2000,3166,3166,16.939123392105103
tai30_20.txt - Instance 2,30,20,2000,0.2,0.0,0,1.0,2000,3411,3224,19.494465589523315
tai30_20.txt - Instance 3,30,20,2000,0.2,0.0,0,1.0,2000,3220,3137,20.59383273124695
tai30_20.txt - Instance 4,30,20,2000,0.2,0.0,0,1.0,2000,3337,3198,14.324264764785767
tai30_20.txt - Instance 5,30,20,2000,0.2,0.0,0,1.0,2000,3360,3288,15.577521562576294
tai30_20.txt - Instance 6,30,20,2000,0.2,0.0,0,1.0,2000,3326,3326,16.43679428100586
tai30_20.txt - Instance 7,30,20,2000,0.2,0.0,0,1.0,2000,3050,3050,15.706574440002441
tai30_20.txt - Instance 8,30,20,2000,0.2,0.0,0,1.0,2000,3452,3171,24.57287907600403
tai30_20.txt - Instance 9,30,20,2000,0.2,0.0,0,1.0,2000,3207,3152,18.849311113357544
tai30_20.txt - Instance 10,30,20,2000,0.2,0.0,0,1.0,2000,3044,3044,11.200296401977539
tai50_15.txt - Instance 1,50,15,2000,0.2,0.0,0,1.0,2000,4468,4060,15.368463039398193
tai50_15.txt - Instance 2,50,15,2000,0.2,0.0,0,1.0,2000,4474,4202,16.291253805160522
tai50_15.txt - Instance 3,50,15,2000,0.2,0.0,0,1.0,2000,3830,3830,14.432035207748413
tai50_15.txt - Instance 4,50,15,2000,0.2,0.0,0,1.0,2000,4362,3870,14.770127534866333
tai50_15.txt - Instance 5,50,15,2000,0.2,0.0,0,1.0,2000,4978,4033,14.838687658309937
tai50_15.txt - Instance 6,50,15,2000,0.2,0.0,0,1.0,2000,4525,3962,15.97147512435913
tai50_15.txt - Instance 7,50,15,2000,0.2,0.0,0,1.0,2000,4595,4076,18.45986318588257
tai50_15.txt - Instance 8,50,15,2000,0.2,0.0,0,1.0,2000,4380,4328,16.619086265563965
tai50_15.txt - Instance 9,50,15,2000,0.2,0.0,0,1.0,2000,4220,3980,14.429737567901611
tai50_15.txt - Instance 10,50,15,2000,0.2,0.0,0,1.0,2000,4471,4081,15.031054019927979
tai50_20.txt - Instance 1,50,20,2000,0.2,0.0,0,1.0,2000,4577,4437,24.00600242614746
tai50_20.txt - Instance 2,50,20,2000,0.2,0.0,0,1.0,2000,4642,4642,24.113263607025146
tai50_20.txt - Instance 3,50,20,2000,0.2,0.0,0,1.0,2000,4210,4210,27.866130352020264
tai50_20.txt - Instance 4,50,20,2000,0.2,0.0,0,1.0,2000,4377,4353,27.94769811630249
tai50_20.txt - Instance 5,50,20,2000,0.2,0.0,0,1.0,2000,4536,4428,25.30111575126648
tai50_20.txt - Instance 6,50,20,2000,0.2,0.0,0,1.0,2000,4944,4548,24.423982620239258
tai50_20.txt - Instance 7,50,20,2000,0.2,0.0,0,1.0,2000,4906,4666,24.293538093566895
tai50_20.txt - Instance 8,50,20,2000,0.2,0.0,0,1.0,2000,4539,4477,24.698701858520508
tai50_20.txt - Instance 9,50,20,2000,0.2,0.0,0,1.0,2000,4651,4651,24.113321781158447
tai50_20.txt - Instance 10,50,20,2000,0.2,0.0,0,1.0,2000,4879,4657,27.819916248321533
tai100_20.txt - Instance 1,100,20,2000,0.2,0.0,0,1.0,2000,7968,7968,84.33878254890442
tai100_20.txt - Instance 2,100,20,2000,0.2,0.0,0,1.0,2000,7575,7575,78.61862564086914
tai100_20.txt - Instance 3,100,20,2000,0.2,0.0,0,1.0,2000,8170,8052,81.45055413246155
tai100_20.txt - Instance 4,100,20,2000,0.2,0.0,0,1.0,2000,8034,7681,84.47509598731995
tai100_20.txt - Instance 5,100,20,2000,0.2,0.0,0,1.0,2000,8433,7906,82.30695176124573
tai100_20.txt - Instance 6,100,20,2000,0.2,0.0,0,1.0,2000,7820,7820,81.98470544815063
tai100_20.txt - Instance 7,100,20,2000,0.2,0.0,0,1.0,2000,8304,8014,113.44400477409363
tai100_20.txt - Instance 8,100,20,2000,0.2,0.0,0,1.0,2000,7910,7910,113.37184858322144
tai100_20.txt - Instance 9,100,20,2000,0.2,0.0,0,1.0,2000,7843,7843,82.68083167076111
tai100_20.txt - Instance 10,100,20,2000,0.2,0.0,0,1.0,2000,7869,7423,93.36718726158142
