Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,10000,0.2,0.01,100,0.9,10,1865,1659,12.776670217514038
tai15_15.txt - Instance 2,15,15,10000,0.2,0.01,100,0.9,10,1911,1646,22.572951793670654
tai15_15.txt - Instance 3,15,15,10000,0.2,0.01,100,0.9,10,1942,1792,26.87323498725891
tai15_15.txt - Instance 4,15,15,10000,0.2,0.01,100,0.9,10,1946,1840,25.0599422454834
tai15_15.txt - Instance 5,15,15,10000,0.2,0.01,100,0.9,10,1725,1699,23.57036781311035
tai15_15.txt - Instance 6,15,15,10000,0.2,0.01,100,0.9,10,1739,1723,27.545900106430054
tai15_15.txt - Instance 7,15,15,10000,0.2,0.01,100,0.9,10,1993,1644,25.177453756332397
tai15_15.txt - Instance 8,15,15,10000,0.2,0.01,100,0.9,10,1904,1679,23.970368146896362
tai15_15.txt - Instance 9,15,15,10000,0.2,0.01,100,0.9,10,2057,1750,21.90079689025879
tai15_15.txt - Instance 10,15,15,10000,0.2,0.01,100,0.9,10,1808,1639,20.994877338409424
tai20_15.txt - Instance 1,20,15,10000,0.2,0.01,100,0.9,10,2225,1967,31.37768244743347
tai20_15.txt - Instance 2,20,15,10000,0.2,0.01,100,0.9,10,2266,2030,32.94466948509216
tai20_15.txt - Instance 3,20,15,10000,0.2,0.01,100,0.9,10,2183,1981,34.08478927612305
tai20_15.txt - Instance 4,20,15,10000,0.2,0.01,100,0.9,10,2278,1925,31.795259714126587
tai20_15.txt - Instance 5,20,15,10000,0.2,0.01,100,0.9,10,2335,2069,32.35970067977905
tai20_15.txt - Instance 6,20,15,10000,0.2,0.01,100,0.9,10,2089,2012,30.861553192138672
tai20_15.txt - Instance 7,20,15,10000,0.2,0.01,100,0.9,10,2112,1986,29.431024074554443
tai20_15.txt - Instance 8,20,15,10000,0.2,0.01,100,0.9,10,2197,2000,33.501035928726196
tai20_15.txt - Instance 9,20,15,10000,0.2,0.01,100,0.9,10,2123,1930,31.67352294921875
tai20_15.txt - Instance 10,20,15,10000,0.2,0.01,100,0.9,10,1910,1910,31.551506996154785
tai20_20.txt - Instance 1,20,20,10000,0.2,0.01,100,0.9,10,2679,2398,55.60093975067139
tai20_20.txt - Instance 2,20,20,10000,0.2,0.01,100,0.9,10,2519,2345,52.43687653541565
tai20_20.txt - Instance 3,20,20,10000,0.2,0.01,100,0.9,10,2449,2368,51.67666149139404
tai20_20.txt - Instance 4,20,20,10000,0.2,0.01,100,0.9,10,2773,2518,52.52777457237244
tai20_20.txt - Instance 5,20,20,10000,0.2,0.01,100,0.9,10,2679,2442,71.97545552253723
tai20_20.txt - Instance 6,20,20,10000,0.2,0.01,100,0.9,10,2297,2297,54.23748016357422
tai20_20.txt - Instance 7,20,20,10000,0.2,0.01,100,0.9,10,2870,2505,55.20084547996521
tai20_20.txt - Instance 8,20,20,10000,0.2,0.01,100,0.9,10,2621,2554,48.27726936340332
tai20_20.txt - Instance 9,20,20,10000,0.2,0.01,100,0.9,10,2689,2435,52.54578733444214
tai20_20.txt - Instance 10,20,20,10000,0.2,0.01,100,0.9,10,2691,2383,51.71323871612549
tai30_15.txt - Instance 1,30,15,10000,0.2,0.01,100,0.9,10,3120,2777,63.794466733932495
tai30_15.txt - Instance 2,30,15,10000,0.2,0.01,100,0.9,10,3071,2966,60.6208119392395
tai30_15.txt - Instance 3,30,15,10000,0.2,0.01,100,0.9,10,2795,2787,55.51073598861694
tai30_15.txt - Instance 4,30,15,10000,0.2,0.01,100,0.9,10,3068,2653,60.5580050945282
