Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,2000,0.2,0.01,50,0.9,10,1865,1758,2.565755605697632
tai15_15.txt - Instance 2,15,15,2000,0.2,0.01,50,0.9,10,1911,1686,2.144912004470825
tai15_15.txt - Instance 3,15,15,2000,0.2,0.01,50,0.9,10,1942,1717,2.4170351028442383
tai15_15.txt - Instance 4,15,15,2000,0.2,0.01,50,0.9,10,1946,1736,2.835117816925049
tai15_15.txt - Instance 5,15,15,2000,0.2,0.01,50,0.9,10,1725,1725,3.380812406539917
tai15_15.txt - Instance 6,15,15,2000,0.2,0.01,50,0.9,10,1739,1624,2.879462957382202
tai15_15.txt - Instance 7,15,15,2000,0.2,0.01,50,0.9,10,1993,1677,2.7239902019500732
tai15_15.txt - Instance 8,15,15,2000,0.2,0.01,50,0.9,10,1904,1744,3.376861572265625
tai15_15.txt - Instance 9,15,15,2000,0.2,0.01,50,0.9,10,2057,1745,2.86236572265625
tai15_15.txt - Instance 10,15,15,2000,0.2,0.01,50,0.9,10,1808,1777,2.8090972900390625
tai20_15.txt - Instance 1,20,15,2000,0.2,0.01,50,0.9,10,2225,2225,4.278672933578491
tai20_15.txt - Instance 2,20,15,2000,0.2,0.01,50,0.9,10,2266,2099,4.759917974472046
tai20_15.txt - Instance 3,20,15,2000,0.2,0.01,50,0.9,10,2183,2005,4.150786399841309
tai20_15.txt - Instance 4,20,15,2000,0.2,0.01,50,0.9,10,2278,1947,4.038020372390747
tai20_15.txt - Instance 5,20,15,2000,0.2,0.01,50,0.9,10,2335,1999,4.006940841674805
tai20_15.txt - Instance 6,20,15,2000,0.2,0.01,50,0.9,10,2089,2072,3.5351309776306152
tai20_15.txt - Instance 7,20,15,2000,0.2,0.01,50,0.9,10,2112,2095,4.009966611862183
tai20_15.txt - Instance 8,20,15,2000,0.2,0.01,50,0.9,10,2197,2120,3.7630183696746826
tai20_15.txt - Instance 9,20,15,2000,0.2,0.01,50,0.9,10,2123,2115,4.434964418411255
tai20_15.txt - Instance 10,20,15,2000,0.2,0.01,50,0.9,10,1910,1910,3.757507562637329
tai20_20.txt - Instance 1,20,20,2000,0.2,0.01,50,0.9,10,2679,2496,6.08422589302063
tai20_20.txt - Instance 2,20,20,2000,0.2,0.01,50,0.9,10,2519,2469,5.676787853240967
tai20_20.txt - Instance 3,20,20,2000,0.2,0.01,50,0.9,10,2449,2449,6.086385250091553
tai20_20.txt - Instance 4,20,20,2000,0.2,0.01,50,0.9,10,2773,2449,5.818728446960449
tai20_20.txt - Instance 5,20,20,2000,0.2,0.01,50,0.9,10,2679,2416,5.598920583724976
tai20_20.txt - Instance 6,20,20,2000,0.2,0.01,50,0.9,10,2297,2297,6.01645565032959
tai20_20.txt - Instance 7,20,20,2000,0.2,0.01,50,0.9,10,2870,2608,7.44929313659668
tai20_20.txt - Instance 8,20,20,2000,0.2,0.01,50,0.9,10,2621,2467,8.323651790618896
tai20_20.txt - Instance 9,20,20,2000,0.2,0.01,50,0.9,10,2689,2432,7.291985273361206
tai20_20.txt - Instance 10,20,20,2000,0.2,0.01,50,0.9,10,2691,2425,6.08819580078125
tai30_15.txt - Instance 1,30,15,2000,0.2,0.01,50,0.9,10,3120,2652,7.028532266616821
tai30_15.txt - Instance 2,30,15,2000,0.2,0.01,50,0.9,10,3071,2803,5.9767396450042725
tai30_15.txt - Instance 3,30,15,2000,0.2,0.01,50,0.9,10,2795,2795,7.430996894836426
tai30_15.txt - Instance 4,30,15,2000,0.2,0.01,50,0.9,10,3068,2913,6.387669324874878
tai30_15.txt - Instance 5,30,15,2000,0.2,0.01,50,0.9,10,3114,2813,7.043258428573608
tai30_15.txt - Instance 6,30,15,2000,0.2,0.01,50,0.9,10,2967,2802,6.787792444229126
tai30_15.txt - Instance 7,30,15,2000,0.2,0.01,50,0.9,10,3144,2609,6.693296670913696
tai30_15.txt - Instance 8,30,15,2000,0.2,0.01,50,0.9,10,2463,2463,7.056973218917847
tai30_15.txt - Instance 9,30,15,2000,0.2,0.01,50,0.9,10,3175,2737,6.574429273605347
tai30_15.txt - Instance 10,30,15,2000,0.2,0.01,50,0.9,10,2940,2754,7.440777540206909
tai30_20.txt - Instance 1,30,20,2000,0.2,0.01,50,0.9,10,3166,3166,11.133301258087158
tai30_20.txt - Instance 2,30,20,2000,0.2,0.01,50,0.9,10,3411,3165,11.328248262405396
tai30_20.txt - Instance 3,30,20,2000,0.2,0.01,50,0.9,10,3220,2990,11.151411294937134
tai30_20.txt - Instance 4,30,20,2000,0.2,0.01,50,0.9,10,3337,3237,11.253217697143555
tai30_20.txt - Instance 5,30,20,2000,0.2,0.01,50,0.9,10,3360,3054,10.730104207992554
tai30_20.txt - Instance 6,30,20,2000,0.2,0.01,50,0.9,10,3326,3280,11.242662906646729
tai30_20.txt - Instance 7,30,20,2000,0.2,0.01,50,0.9,10,3050,3050,10.960890531539917
tai30_20.txt - Instance 8,30,20,2000,0.2,0.01,50,0.9,10,3452,3245,15.660483598709106
tai30_20.txt - Instance 9,30,20,2000,0.2,0.01,50,0.9,10,3207,3105,10.814812183380127
tai30_20.txt - Instance 10,30,20,2000,0.2,0.01,50,0.9,10,3044,3044,11.20711064338684
tai50_15.txt - Instance 1,50,15,2000,0.2,0.01,50,0.9,10,4468,4029,15.221649885177612
tai50_15.txt - Instance 2,50,15,2000,0.2,0.01,50,0.9,10,4474,4201,15.034155130386353
tai50_15.txt - Instance 3,50,15,2000,0.2,0.01,50,0.9,10,3830,3830,17.616520166397095
tai50_15.txt - Instance 4,50,15,2000,0.2,0.01,50,0.9,10,4362,3915,14.132373809814453
tai50_15.txt - Instance 5,50,15,2000,0.2,0.01,50,0.9,10,4978,4079,15.116981744766235
tai50_15.txt - Instance 6,50,15,2000,0.2,0.01,50,0.9,10,4525,4282,15.366851329803467
tai50_15.txt - Instance 7,50,15,2000,0.2,0.01,50,0.9,10,4595,4220,14.500973224639893
tai50_15.txt - Instance 8,50,15,2000,0.2,0.01,50,0.9,10,4380,4179,14.96503210067749
tai50_15.txt - Instance 9,50,15,2000,0.2,0.01,50,0.9,10,4220,4009,14.917157888412476
tai50_15.txt - Instance 10,50,15,2000,0.2,0.01,50,0.9,10,4471,3932,14.949665069580078
tai50_20.txt - Instance 1,50,20,2000,0.2,0.01,50,0.9,10,4577,4573,25.317084312438965
tai50_20.txt - Instance 2,50,20,2000,0.2,0.01,50,0.9,10,4642,4608,23.797215700149536
tai50_20.txt - Instance 3,50,20,2000,0.2,0.01,50,0.9,10,4210,4210,26.8532395362854
tai50_20.txt - Instance 4,50,20,2000,0.2,0.01,50,0.9,10,4377,4220,26.06196880340576
tai50_20.txt - Instance 5,50,20,2000,0.2,0.01,50,0.9,10,4536,4510,25.015687465667725
tai50_20.txt - Instance 6,50,20,2000,0.2,0.01,50,0.9,10,4944,4606,24.86301279067993
tai50_20.txt - Instance 7,50,20,2000,0.2,0.01,50,0.9,10,4906,4706,26.350727558135986
tai50_20.txt - Instance 8,50,20,2000,0.2,0.01,50,0.9,10,4539,4447,24.78221893310547
tai50_20.txt - Instance 9,50,20,2000,0.2,0.01,50,0.9,10,4651,4651,24.14988875389099
tai50_20.txt - Instance 10,50,20,2000,0.2,0.01,50,0.9,10,4879,4627,25.265538215637207
tai100_20.txt - Instance 1,100,20,2000,0.2,0.01,50,0.9,10,7968,7968,86.31927704811096
tai100_20.txt - Instance 2,100,20,2000,0.2,0.01,50,0.9,10,7575,7575,82.80793786048889
tai100_20.txt - Instance 3,100,20,2000,0.2,0.01,50,0.9,10,8170,7894,85.93000817298889
tai100_20.txt - Instance 4,100,20,2000,0.2,0.01,50,0.9,10,8034,7747,73.63051199913025
tai100_20.txt - Instance 5,100,20,2000,0.2,0.01,50,0.9,10,8433,7731,82.48037958145142
tai100_20.txt - Instance 6,100,20,2000,0.2,0.01,50,0.9,10,7820,7820,119.07982158660889
tai100_20.txt - Instance 7,100,20,2000,0.2,0.01,50,0.9,10,8304,7860,85.6638388633728
tai100_20.txt - Instance 8,100,20,2000,0.2,0.01,50,0.9,10,7910,7910,138.12798643112183
tai100_20.txt - Instance 9,100,20,2000,0.2,0.01,50,0.9,10,7843,7583,83.41448521614075
tai100_20.txt - Instance 10,100,20,2000,0.2,0.01,50,0.9,10,7869,7790,79.86294674873352
tai15_15.txt - Instance 1,15,15,2000,0.2,0.01,50,0.8,10,1865,1787,2.6832807064056396
tai15_15.txt - Instance 2,15,15,2000,0.2,0.01,50,0.8,10,1911,1670,2.4832375049591064
tai15_15.txt - Instance 3,15,15,2000,0.2,0.01,50,0.8,10,1942,1683,2.4326846599578857
tai15_15.txt - Instance 4,15,15,2000,0.2,0.01,50,0.8,10,1946,1651,2.5197489261627197
tai15_15.txt - Instance 5,15,15,2000,0.2,0.01,50,0.8,10,1725,1725,2.6137168407440186
tai15_15.txt - Instance 6,15,15,2000,0.2,0.01,50,0.8,10,1739,1739,2.6004929542541504
tai15_15.txt - Instance 7,15,15,2000,0.2,0.01,50,0.8,10,1993,1740,2.715808153152466
tai15_15.txt - Instance 8,15,15,2000,0.2,0.01,50,0.8,10,1904,1687,2.4328176975250244
tai15_15.txt - Instance 9,15,15,2000,0.2,0.01,50,0.8,10,2057,1922,2.583163261413574
tai15_15.txt - Instance 10,15,15,2000,0.2,0.01,50,0.8,10,1808,1715,2.5718209743499756
