Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,5000,0.2,0.8,10,1.01,100,1865,1699,10.670274496078491
tai15_15.txt - Instance 2,15,15,5000,0.2,0.8,10,1.01,100,1911,1651,9.967796802520752
tai15_15.txt - Instance 3,15,15,5000,0.2,0.8,10,1.01,100,1942,1650,10.216524362564087
tai15_15.txt - Instance 4,15,15,5000,0.2,0.8,10,1.01,100,1946,1643,10.188055515289307
tai15_15.txt - Instance 5,15,15,5000,0.2,0.8,10,1.01,100,1725,1700,9.62787127494812
tai15_15.txt - Instance 6,15,15,5000,0.2,0.8,10,1.01,100,1739,1608,10.072798728942871
tai15_15.txt - Instance 7,15,15,5000,0.2,0.8,10,1.01,100,1993,1636,9.572116613388062
tai15_15.txt - Instance 8,15,15,5000,0.2,0.8,10,1.01,100,1904,1658,10.932739019393921
tai15_15.txt - Instance 9,15,15,5000,0.2,0.8,10,1.01,100,2057,1716,10.416424751281738
tai15_15.txt - Instance 10,15,15,5000,0.2,0.8,10,1.01,100,1808,1659,10.1297447681427
