Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 1,15,15,5000,0.2,0.01,50,0.9,10,1865,1685,6.183899164199829
tai15_15.txt - Instance 2,15,15,5000,0.2,0.01,50,0.9,10,1911,1598,6.250109672546387
tai15_15.txt - Instance 3,15,15,5000,0.2,0.01,50,0.9,10,1942,1775,5.920039415359497
tai15_15.txt - Instance 4,15,15,5000,0.2,0.01,50,0.9,10,1946,1668,5.826607704162598
tai15_15.txt - Instance 5,15,15,5000,0.2,0.01,50,0.9,10,1725,1655,5.925486087799072
tai15_15.txt - Instance 6,15,15,5000,0.2,0.01,50,0.9,10,1739,1624,5.216790437698364
tai15_15.txt - Instance 7,15,15,5000,0.2,0.01,50,0.9,10,1993,1835,5.990067005157471
tai15_15.txt - Instance 8,15,15,5000,0.2,0.01,50,0.9,10,1904,1673,5.964612245559692
tai15_15.txt - Instance 9,15,15,5000,0.2,0.01,50,0.9,10,2057,1750,6.394871473312378
tai15_15.txt - Instance 10,15,15,5000,0.2,0.01,50,0.9,10,1808,1631,5.678292989730835
tai20_15.txt - Instance 1,20,15,5000,0.2,0.01,50,0.9,10,2225,1996,9.03003454208374
tai20_15.txt - Instance 2,20,15,5000,0.2,0.01,50,0.9,10,2266,2116,8.640395164489746
tai20_15.txt - Instance 3,20,15,5000,0.2,0.01,50,0.9,10,2183,1905,8.3316969871521
tai20_15.txt - Instance 4,20,15,5000,0.2,0.01,50,0.9,10,2278,1860,8.499205112457275
tai20_15.txt - Instance 5,20,15,5000,0.2,0.01,50,0.9,10,2335,2012,9.038547039031982
tai20_15.txt - Instance 6,20,15,5000,0.2,0.01,50,0.9,10,2089,2003,8.424305200576782
tai20_15.txt - Instance 7,20,15,5000,0.2,0.01,50,0.9,10,2112,2093,8.8877272605896
tai20_15.txt - Instance 8,20,15,5000,0.2,0.01,50,0.9,10,2197,2006,8.330998659133911
tai20_15.txt - Instance 9,20,15,5000,0.2,0.01,50,0.9,10,2123,1960,8.195102214813232
tai20_15.txt - Instance 10,20,15,5000,0.2,0.01,50,0.9,10,1910,1910,9.386820554733276
tai20_20.txt - Instance 1,20,20,5000,0.2,0.01,50,0.9,10,2679,2485,13.664596557617188
tai20_20.txt - Instance 2,20,20,5000,0.2,0.01,50,0.9,10,2519,2421,11.910613298416138
